TIMESTAMP,FLOOR,AREA,OAC,ZONE,BAY,JOB,COMMENT
2023-02-23 12:00,F4 2F,DIFF(Fur),201-6,공조 9(2F),DP2(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,DIFF(Fur),201-7,공조 10(2F),DP5(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,DIFF(Imp),201-7,공조 11(2F),DP6(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,ETCH,201-1,공조 1(2F),EP0(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,ETCH,201-1,공조 2(2F),EP1(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,ETCH,201-2,공조 2(2F),EP2(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,ETCH,201-2,공조 2(2F),EP3(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,ETCH,201-2,공조 3(2F),EP4(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,ETCH,201-2,공조 3(2F),EP6(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,ETCH,201-8,공조 12(2F),EP9(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,OAC,201-4,"공조 4,5(2F)",OAC4B(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,OAC,201-4,"공조 4,5(2F)",OAC4F(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,OAC,201-8,"공조 11,12(2F)",OAC8B(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,OAC,201-8,"공조 11,12(2F)",OAC8F(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,PHOTO,201-3,공조 4(2F),PP1(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,PHOTO,201-3,공조 4(2F),PP2(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,PHOTO,201-4,공조 5(2F),PP3(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,ThinFilm,201-1,공조 1(2F),CP5(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,ThinFilm,201-5,공조 6(2F),CP3(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,ThinFilm,201-5,공조 7(2F),CP2(2F),AMCs 분석기 PM,
2023-02-23 12:00,F4 2F,ThinFilm,201-5,공조 8(2F),CP1(2F),AMCs 분석기 PM,
2023-03-23 12:00,F4 2F,DIFF(Fur),201-6,공조 9(2F),DP2(2F),AMCs 분석기 PM,
2023-03-23 12:00,F4 2F,DIFF(Fur),201-7,공조 10(2F),DP5(2F),AMCs 분석기 PM,
2023-03-23 12:00,F4 2F,DIFF(Imp),201-7,공조 11(2F),DP6(2F),AMCs 분석기 PM,
